License_Fiscal_Year_License_Num,Business_Name,Street_Address,City,State,Zip,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Status,License_Status_Description,Council_District_Code,Council_District_Description,Location_1,FID
,"RODGERS, BRIAN L",2633 DUNHAM ST,SOUTH BEND,IN,46619,(574) 514-2672,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-29T04:00:00.000Z,2014,AC,Active and Licensed,SB6,COUNCIL DISTRICT 6,"2633 DUNHAM ST
SOUTH BEND, IN 46619
(41.666589, -86.287135)",1020
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-18T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1021
,"GLAD, BRYAN M",1524 E BOWMAN ST,SOUTH BEND,IN,46613,(574) 332-1000,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-29T04:00:00.000Z,2014,AC,Active and Licensed,SB5,COUNCIL DISTRICT 5,"1524 E BOWMAN ST
SOUTH BEND, IN 46613
(41.653951, -86.224695)",1022
,1056 BURNS AVE,1056 BURNS AVE,SOUTH BEND,IN,46617-1414,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2010-11-13T05:00:00.000Z,2010-09-01T04:00:00.000Z,2010,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1056 BURNS AVE
SOUTH BEND, IN 46617-1414
(41.689725, -86.232891)",1023
,"WALKER, SHAWN F",0 OUT 46544,MISHAWAKA,IN,46544,(574) 298-0686,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-29T04:00:00.000Z,2014,AC,Active and Licensed,,,"0 OUT
MISHAWAKA, IN 46544
",1024
,1003 NOTRE DAME AVE,1003 N NOTRE DAME AVE,SOUTH BEND,IN,46617,(000) 000-0000,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-11-23T05:00:00.000Z,2014-08-28T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1003 N NOTRE DAME AVE
SOUTH BEND, IN 46617
(41.688642, -86.238134)",1025
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",1026
,718 NAPOLEON BLVD,718 NAPOLEON ST,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2014-11-22T05:00:00.000Z,2014-08-29T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"718 NAPOLEON ST
SOUTH BEND, IN 46617
(41.69119, -86.239864)",1027
,MODERN CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 400-9621,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1028
,INNISFREE BED & BREAKFAST,702 W COLFAX AVE,SOUTH BEND,IN,46601,(574) 283-0740,HOTEL,HOTEL/MOTEL,2015-01-31T05:00:00.000Z,2014-03-13T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"702 W COLFAX AVE
SOUTH BEND, IN 46601
(41.677655, -86.259535)",1029
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1030
,"THOMPSON, LYNWOOD V",915 W LASALLE AVE,SOUTH BEND,IN,46601-1414,(574) 532-9968,TAXID,TAXI DRIVER,2007-06-01T04:00:00.000Z,2006-06-01T04:00:00.000Z,2006,AC,Active and Licensed,,,"915 W LASALLE AVE
SOUTH BEND, IN 46601-1414
(41.678978, -86.262792)",1031
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1032
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-20T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1033
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",1034
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-20T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1035
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1036
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-20T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1037
,INDIANA AUTO PARTS,3300 S MAIN ST,SOUTH BEND,IN,46601,(574) 231-0611,SMD,SCRAP METAL /JUNK DEALERS,2007-01-31T05:00:00.000Z,2006-07-13T04:00:00.000Z,2006,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3300 S MAIN ST
SOUTH BEND, IN 46601
(41.641369, -86.251375)",1038
,PASSPORT WOODFIRE GRILL,1290 E IRELAND RD,SOUTH BEND,IN,46614,(574) 299-5095,RESTZ,RESTAURANTS N-Z,2012-03-31T04:00:00.000Z,2011-07-26T04:00:00.000Z,2011,VO,Voided,SB5,COUNCIL DISTRICT 5,"1290 E IRELAND RD
SOUTH BEND, IN 46614
(41.629437, -86.231002)",1039
,INN ON HISTORIC W WASHINGTON,322 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 288-4089,RESTAM,RESTAURANTS A-M,2009-02-28T05:00:00.000Z,2008-02-01T05:00:00.000Z,2008,RN,Renewed,SB2,COUNCIL DISTRICT 2,"322 W WASHINGTON ST
SOUTH BEND, IN 46601
(41.676358, -86.254623)",1040
,LET'S SPOON FROZEN YOGURT / CL,1290 E IRELAND RD,SOUTH BEND,IN,46614,(574) 243-5847,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-09-08T04:00:00.000Z,2011,RN,Renewed,SB5,COUNCIL DISTRICT 5,"1290 E IRELAND RD
SOUTH BEND, IN 46614
(41.629437, -86.231002)",1041
,R & J QUICK MART,1956 E EWING AVE,SOUTH BEND,IN,46613,(574) 282-1133,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-09-17T04:00:00.000Z,2009,RN,Renewed,SB5,COUNCIL DISTRICT 5,"1956 E EWING AVE
SOUTH BEND, IN 46613
(41.651221, -86.21621)",1042
,SOUTH BEND PIZZA,117 E WAYNE ST,SOUTH BEND,IN,46601,(574) 234-2183,RESTZ,RESTAURANTS N-Z,2012-03-31T04:00:00.000Z,2011-08-15T04:00:00.000Z,2011,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"117 E WAYNE ST
SOUTH BEND, IN 46601
(41.673687, -86.249951)",1043
,"HODGE, LARRY S",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 222-5427,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-09-11T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",1044
,"WILLIAMS, JACKIE",1240 N KALEY ST,SOUTH BEND,IN,46628,(574) 440-0346,TAXID,TAXI DRIVER,2012-06-01T04:00:00.000Z,2011-08-05T04:00:00.000Z,2011,AC,Active and Licensed,SB2,COUNCIL DISTRICT 2,"1240 N KALEY ST
SOUTH BEND, IN 46628
(41.69201, -86.287334)",1045
,KENISHA GUNN,1807 S WARREN ST,SOUTH BEND,IN,46613,(574) 367-1320,PEDDLR,PEDDLER & CANVASSER,2012-01-31T05:00:00.000Z,2011-09-30T04:00:00.000Z,2011,VO,Voided,SB6,COUNCIL DISTRICT 6,"1807 S WARREN ST
SOUTH BEND, IN 46613
(41.654731, -86.279683)",1046
,"HAMILTON BODY SHOP, INC",910 S LAFAYETTE BLVD,SOUTH BEND,IN,46601,(574) 239-6222,VEHREM,VEHICLE REMOVAL,2015-01-31T05:00:00.000Z,2014-04-08T04:00:00.000Z,2014,IN,Incative and no longer licensed,SB6,COUNCIL DISTRICT 6,"910 S LAFAYETTE BLVD
SOUTH BEND, IN 46601
(41.665801, -86.253336)",1047
,EMPIRE CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-5000,TAXICAB,TAXI VEHICLE,2012-10-01T04:00:00.000Z,2011-09-23T04:00:00.000Z,2011,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1048
,THE EXCHANGE,112 W JEFFERSON BLVD,SOUTH BEND,IN,46601,(574) 310-8999,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-04-21T04:00:00.000Z,2014,RN,Renewed,SB2,COUNCIL DISTRICT 2,"112 W JEFFERSON BLVD
SOUTH BEND, IN 46601
(41.675039, -86.250377)",1049
,EMPIRE CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-5000,TAXICAB,TAXI VEHICLE,2012-10-01T04:00:00.000Z,2011-09-23T04:00:00.000Z,2011,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1050
,RESIDENCE INN,716 N NILES AVE,SOUTH BEND,IN,46617,(574) 289-5555,HOTEL,HOTEL/MOTEL,2015-01-31T05:00:00.000Z,2014-02-20T05:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"716 N NILES AVE
SOUTH BEND, IN 46617
(41.685705, -86.24571)",1051
,JEANNIES WHITE HOUSE LLC,1444 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 855-4423,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-10-04T04:00:00.000Z,2011,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1444 MISHAWAKA AVE
SOUTH BEND, IN 46615
(41.665776, -86.225769)",1052
,"YELLOW CAB OF MICHIANA, INC",1814 S MAIN ST,SOUTH BEND,IN,46613,(574) 233-9333,TAXICAB,TAXI VEHICLE,2009-06-01T04:00:00.000Z,2008-05-06T04:00:00.000Z,2008,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1814 S MAIN ST
SOUTH BEND, IN 46613
(41.65494, -86.251447)",1053
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1054
,ABRAJAN PLOWING & LAWN SERVICE,2924 ELWOOD AVE,SOUTH BEND,IN,46628,(574) 234-9779,ARBOR,ARBORIST/TREE SERVICE,2010-01-31T05:00:00.000Z,2009-06-04T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"2924 ELWOOD AVE
SOUTH BEND, IN 46628
(41.693708, -86.291048)",1055
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",1056
,803 PEASHWAY ST,803 PEASHWAY ST,SOUTH BEND,IN,46617,(574) 246-1654,LPARKO,LAWN PARK 10 OR MORE SPACES,2010-11-13T05:00:00.000Z,2010-11-10T05:00:00.000Z,2010,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"803 PEASHWAY ST
SOUTH BEND, IN 46617
(41.691986, -86.239659)",1057
,"BOWEN, LUCKIE M",110 E DAYTON ST,SOUTH BEND,IN,46613,(574) 300-9871,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"110 E DAYTON ST
SOUTH BEND, IN 46613
(41.655751, -86.249264)",1058
,UNITED CAB,2107 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-9599,TAXICAB,TAXI VEHICLE,2012-06-01T04:00:00.000Z,2011-08-19T04:00:00.000Z,2011,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"2107 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.652009, -86.249769)",1059
,EAGLE CAB/EAGLE TRANSPORTATION,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 287-6666,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1060
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2012-06-01T04:00:00.000Z,2011-08-25T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",1061
,1126 N FRANCES ST,1126 N FRANCES ST,SOUTH BEND,IN,46617,(574) 289-4932,LPARKO,LAWN PARK 10 OR MORE SPACES,2011-11-19T05:00:00.000Z,2011-08-24T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1126 N FRANCES ST
SOUTH BEND, IN 46617
(41.691018, -86.237025)",1062
,"KAGABO, JEAN LEONARD",4242 IRISH HILLS DR,SOUTH BEND,IN,46614,(231) 580-1878,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB5,COUNCIL DISTRICT 5,"4242 IRISH HILLS DR
SOUTH BEND, IN 46614
(41.633324, -86.208564)",1063
,JUNK B GONE,1421 HILDRETH ST,SOUTH BEND,IN,46615,(574) 340-6241,TRASH,RUBBISH & GARBAGE REMOVAL,2015-04-30T04:00:00.000Z,2014-05-09T04:00:00.000Z,2014,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1421 HILDRETH ST
SOUTH BEND, IN 46615
(41.662778, -86.227442)",1064
,LIL J BUENO'S BODY SHOP & AUTO,1636 PRAIRIE AVE,SOUTH BEND,IN,46613,(574) 234-6880,AUTO,AUTOMOTIVE REPAIR & SVC,2015-01-31T05:00:00.000Z,2014-03-10T04:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1636 PRAIRIE AVE
SOUTH BEND, IN 46613
(41.65665, -86.266008)",1065
,"BALMER ROBINSON, JR C",1138 MILTON ST,SOUTH BEND,IN,46613,(574) 222-5249,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1138 MILTON ST
SOUTH BEND, IN 46613
(41.655423, -86.233385)",1066
,AVANTI MUSEUM GROUP LLC,818 THOMAS ST,SOUTH BEND,IN,46601,(314) 973-8686,HOTEL,HOTEL/MOTEL,2015-01-31T05:00:00.000Z,2014-07-01T04:00:00.000Z,2014,RN,Renewed,SB2,COUNCIL DISTRICT 2,"818 THOMAS ST
SOUTH BEND, IN 46601
(41.674323, -86.26243)",1067
,LANE'S DAIRY QUEEN BRAZIER,2015 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 271-1102,RESTAM,RESTAURANTS A-M,2015-02-28T05:00:00.000Z,2014-02-21T05:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2015 SOUTH BEND AVE
SOUTH BEND, IN 46637
(41.698524, -86.219251)",1068
,"COOPER, WILBER G",526 S GLADSTONE AVE,SOUTH BEND,IN,46619,(574) 233-2795,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB6,COUNCIL DISTRICT 6,"526 S GLADSTONE AVE
SOUTH BEND, IN 46619
(41.669212, -86.306946)",1069
,1203 WHITE OAK DR,1203 WHITE OAK DR,SOUTH BEND,IN,46617,(574) 288-1372,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-08-30T04:00:00.000Z,2014-08-28T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1203 WHITE OAK DR
SOUTH BEND, IN 46617
(41.691041, -86.22432)",1070
,"HOFFMAN, ROBERT R",1441 E DONALD ST,SOUTH BEND,IN,46613,(574) 286-1194,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-30T04:00:00.000Z,2014,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1441 E DONALD ST
SOUTH BEND, IN 46613
(41.653026, -86.226129)",1071
,US SCRAP LLC,1420 S WALNUT ST,SOUTH BEND,IN,46619,(574) 232-6000,SMD,SCRAP METAL /JUNK DEALERS,2015-03-15T04:00:00.000Z,2014-05-22T04:00:00.000Z,2014,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1420 S WALNUT ST
SOUTH BEND, IN 46619
(41.659608, -86.27083)",1072
,MODERN CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 400-9621,TAXICO,TAXI COMPANY,2015-10-01T04:00:00.000Z,2014-10-03T04:00:00.000Z,2014,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",1073
,1208 N TWYCKENHAM DR,1208 N TWYCKENHAM DR,SOUTH BEND,IN,46617,(574) 234-0969,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-09-06T04:00:00.000Z,2014-08-28T04:00:00.000Z,2014,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1208 N TWYCKENHAM DR
SOUTH BEND, IN 46617
(41.691255, -86.225967)",1074
,428 E ANGELA BLVD,428 E ANGELA BLVD,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2015-10-09T04:00:00.000Z,2014-10-09T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"428 E ANGELA BLVD
SOUTH BEND, IN 46617
(41.694148, -86.244854)",1075
,1004 SAINT VINCENT ST,1004 SAINT VINCENT ST,SOUTH BEND,IN,46617,(000) 000-0000,LPARKO,LAWN PARK 10 OR MORE SPACES,2014-11-23T05:00:00.000Z,2014-08-29T04:00:00.000Z,2014,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1004 SAINT VINCENT ST
SOUTH BEND, IN 46617
(41.68986, -86.236617)",1076
